q_ID;answer_txt;gryffindor;ravenclaw;hufflepuff;slytherin
1;Dawn;27,31307938;25,92258493;-28,87112887;-22,21557617
1;Dusk;-27,07398054;-25,53254608;30,81085673;23,30406316
2;Forest;28,81628797;26,53804988;-29,61546288;-24,03943097
2;River;-27,41760127;-25,25110895;29,47879885;25,29708668
3;Moon;-26,99015136;29,21779485;-24,15712033;24,38099947
3;Stars;28,653864;-28,67894522;26,97274135;-24,67312267
4;Black;28,91718573;-21,62314612;-30,0065675;25,44278097
4;White;-29,32055396;24,3783615;32,97249578;-25,34810279
5;Heads;-25,36928858;22,41930741;32,6497265;-27,11046939
5;Tails;30,63227296;-23,60407631;-31,08418312;25,892524
6;Left;-27,37364476;28,45701138;-23,55695615;25,02450925
6;Right;27,02941592;-27,55102988;25,78541162;-23,44987827
7;The small tortoiseshell box, embellished with gold, inside which some small creature seems to be squeaking.;-22,52161163;-11,39500098;46,9276079;-10,3717712;008_Q7_A1
7;The gleaming jet black box with a silver lock and key, marked with a mysterious rune that you know to be the mark of Merlin.;-10,90548604;-9,593133701;-16,14193004;38,09339906;009_Q7_A2
7;The ornate golden casket, standing on clawed feet, whose inscription warns that both secret knowledge and unbearable temptation lie within.;-12,21860138;37,71117418;-10,66015592;-13,04771215;010_Q7_A3
7;The small pewter box, unassuming and plain, with a scratched message upon it that reads ‘I open only for the worthy.’;42,85559784;-13,92739453;-18,49815241;-7,988791579;011_Q7_A4
8;Attempt to confuse the troll into letting all three of you pass without fighting?;-12,21949559;39,18673579;-14,32592834;-10,15802264;013_Q8_A1
8;Suggest drawing lots to decide which of you will fight?;-16,77231763;-9,948193394;45,02575153;-15,61728574;014_Q8_A2
8;Suggest that all three of you should fight (without telling the troll)?;-7,926035393;-10,24499201;-15,64058444;37,26154927;015_Q8_A3
8;Volunteer to fight?;40,38906615;-7,371976409;-20,39648571;-11,08309843;016_Q8_A4
9;A crackling log fire;42,20240168;-8,357753463;-22,78056435;-8,243194893;018_Q9_A1
9;The sea;-8,586342901;-7,507111586;-16,19218269;35,04330848;019_Q9_A2
9;Fresh parchment;-12,55006436;38,93217968;-11,48254915;-14,14056557;020_Q9_A3
9;Home;-14,20337805;-16,50952349;45,40854108;-13,23654274;021_Q9_A4
10;Lie and say you don’t know (but hope that somebody else tells Professor Flitwick the truth).;-13,48432155;-17,29439279;41,3626604;-8,254486504;023_Q10_A1
10;Tell Professor Flitwick that he ought to ask your classmate (and resolve to tell your classmate that if he doesn’t tell the truth, you will).;42,1033363;-13,65683918;-13,49218299;-12,21474272;024_Q10_A2
